word,freq,article_count,rank
law enforcement,2807,1612,201.0
everything,2806,3627,202.0
love,2772,4192,203.0
true,2767,3751,204.0
obama administration,2765,1694,205.0
last year,2759,1909,206.0
example,2745,3438,207.0
lie,2744,18167,208.0
national security,2725,1704,209.0
congress,2724,4728,210.0
around,2719,6800,211.0
probably,2714,3118,212.0
friend,2676,4582,213.0
media,2675,11533,214.0
guy,2674,3001,215.0
leader,2668,5821,216.0
position,2664,4994,217.0
stand,2663,9763,218.0
interview,2659,4646,219.0
possible,2654,4245,220.0
although,2649,2412,221.0
tweet,2643,3713,222.0
social media,2631,1881,223.0
state department,2629,1440,224.0
hope,2619,4517,225.0
let,2616,13605,226.0
york time,2608,1847,227.0
october,2601,4381,228.0
deal,2598,5080,229.0
working,2596,4417,230.0
apparently,2593,2718,231.0
money,2587,4719,232.0
truth,2576,3636,233.0
done,2572,5024,234.0
supreme court,2571,1205,235.0
future,2567,3118,236.0
lead,2559,9752,237.0
candidate,2544,5749,238.0
following,2536,3896,239.5
start,2536,6926,239.5
live,2534,9404,241.0
statement,2532,5039,242.0
story,2528,8806,243.0
mainstream media,2525,1596,244.0
video,2524,7543,245.0
office,2515,7899,246.0
response,2509,3439,247.0
reported,2500,5712,248.0
clinton foundation,2490,998,249.0
program,2482,3501,250.0
ask,2475,9879,251.0
clearly,2468,3043,252.0
victim,2465,2424,253.0
began,2464,3106,254.0
continued,2462,2784,255.0
company,2453,2445,256.5
presidential election,2453,1935,256.5
view,2448,9992,258.0
21st century,2442,1491,259.0
business,2440,4352,260.0
washington post,2437,1580,261.0
muslim,2428,3022,262.0
coming,2417,6109,263.0
control,2407,5090,264.0
city,2403,5017,265.0
message,2399,2976,266.0
israel,2386,1309,267.0
whether,2385,4354,268.0
important,2380,4400,269.5
second,2380,4315,269.5
enough,2378,4574,271.5
donald j,2378,1610,271.5
j trump,2377,42,273.0
happened,2374,3222,274.5
lot,2374,7470,274.5
trump campaign,2370,1486,276.0
year,2363,15466,277.0
meeting,2361,2718,278.0
taken,2360,4048,279.0
calling,2344,3031,280.0
better,2343,4546,281.0
act,2335,24597,282.0
protest,2334,3708,283.0
along,2330,4143,284.0
ye,2325,24420,285.0
comment,2321,5962,286.0
every,2318,12787,287.0
countrie,2317,3261,288.0
perhaps,2314,2537,289.0
last week,2311,2149,290.0
week,2310,8685,291.5
organization,2310,3215,291.5
men,2307,29753,293.0
liberal,2288,3549,294.0
foreign policy,2287,1275,295.0
recently,2283,3525,296.0
allow,2280,6139,297.0
death,2269,3373,298.0
side,2264,24829,299.0
situation,2253,2793,300.0
best,2250,4750,301.0
understand,2248,3800,302.0
officer,2243,2737,303.0
thank,2240,3265,304.0
looking,2234,2918,305.0
fear,2231,3018,306.0
moment,2214,3076,307.0
bernie sander,2207,1405,308.0
note,2192,4249,309.0
november,2190,4734,310.0
police officer,2182,1151,311.0
claimed,2181,2956,312.0
form,2180,16003,313.0
taking,2179,4343,314.0
wall street,2176,1227,315.0
speak,2173,5901,316.0
getting,2172,3966,317.0
turned,2148,3448,318.0
saw,2145,2545,319.0
fight,2134,4969,320.0
citizen,2133,3845,321.0
attorney general,2132,1173,322.0
clear,2130,9255,323.0
cause,2129,4157,324.5
remember,2129,2548,324.5
away,2121,5242,326.0
years ago,2117,1723,327.0
even though,2115,1879,328.0
among,2112,3926,329.0
took,2111,5498,330.0
racist,2101,2669,331.0
information,2087,4786,332.0
explain,2086,4316,333.5
presidential candidate,2086,1801,333.5
twitter,2077,7402,335.0
official,2070,6642,336.0
washington,2068,5658,337.0
due,2052,3005,338.0
remain,2051,3711,339.0
past,2050,4642,340.0
feel,2048,4252,341.0
threat,2046,5252,342.0
decision,2044,3754,343.0
politician,2037,2369,344.5
supporter,2037,4389,344.5
started,2034,2718,347.0
bring,2034,3941,347.0
fake new,2034,846,347.0
west,2028,4808,349.0
member,2026,8585,350.0
process,2021,3347,351.0
gave,2020,2809,352.5
created,2020,2373,352.5
top,2018,10696,354.0
maybe,2015,2248,355.5
several,2015,4704,355.5
parent,2014,5474,357.0
bill,2011,7340,358.0
line,2009,9315,359.5
book,2009,5812,359.5
talking,2006,2959,361.0
voter,2005,3968,362.0
kid,2003,2509,363.5
republican party,2003,1432,363.5
school,1998,3312,365.0
cost,1997,2733,366.0
politic,1992,11550,367.0
hold,1988,5734,368.0
leave,1986,3225,369.0
cnn,1978,2840,370.0
list,1969,9788,371.0
article,1968,3990,372.0
certainly,1964,2352,373.0
russian,1960,4922,374.5
century wire,1960,1272,374.5
saudi arabia,1958,840,376.0
longer,1957,2437,377.0
middle east,1955,1391,378.0
involved,1954,2822,379.0
democratic party,1949,1263,380.0
rule,1944,3423,381.0
gop,1941,3276,382.0
term,1938,6555,383.0
benefit,1931,2142,384.0
sign,1928,9070,385.0
pay,1923,5529,386.0
play,1921,6228,387.0
record,1918,4035,388.0
father,1916,2180,389.0
provide,1909,4278,390.0
answer,1907,3065,391.0
god,1905,2171,392.0
cover,1903,6793,393.0
china,1893,1573,394.0
building,1885,2363,395.0
later,1884,4265,396.0
exactly,1883,2600,397.0
reality,1879,2710,398.0
human right,1878,959,399.0
indeed,1877,1942,400.0
trump said,1874,1461,401.0
charge,1861,3682,402.0
allowed,1847,2691,403.0
europe,1845,3466,404.0
team,1844,3339,405.0
wrong,1841,3406,406.0
big,1840,7647,407.0
begin,1822,3492,408.0
less,1820,10783,409.0
decided,1818,3113,410.0
almost,1813,3522,411.0
finally,1811,2499,412.0
protester,1810,1516,413.0
incident,1805,2293,414.5
lives matter,1805,942,414.5
attempt,1804,4558,416.0
sort,1803,2725,417.0
three,1802,5104,418.0
war,1801,16678,419.0
fbi,1794,3242,420.0
fbi director,1789,1097,421.0
hit,1779,11980,422.0
knew,1777,2101,423.0
outside,1772,2788,424.0
lost,1771,2955,425.0
target,1765,2857,426.0
percent,1763,3353,427.0
syria,1762,2923,428.0
level,1761,3815,429.0
hate,1754,5242,430.0
movement,1749,2502,431.0
trump realdonaldtrump,1739,1009,432.0
choice,1735,2261,433.0
right wing,1734,318,434.0
wanted,1730,2847,435.5
giving,1730,2332,435.5
led,1729,21584,437.0
demand,1727,2751,438.0
soon,1720,2562,439.0
write,1718,2919,440.0
revealed,1717,2022,441.5
mind,1717,4955,441.5
crime,1714,3879,443.5
debate,1714,2475,443.5
create,1713,4381,445.0
explained,1706,1773,446.0
police,1705,4355,447.0
black live,1702,923,448.0
child,1696,5226,450.0
race,1696,4901,450.0
ukraine,1696,2533,450.0
brought,1694,2250,452.0
violence,1692,2720,453.0
sure,1683,9389,454.0
different,1681,3775,455.0
party,1680,6156,456.5
african american,1680,402,456.5
employee,1676,1622,458.0
noted,1674,1801,459.0
within,1668,3450,460.0
interest,1665,5628,461.0
march,1664,2805,462.0
society,1661,2118,463.0
bad,1656,4384,464.0
effect,1654,3557,465.0
reporter,1651,2798,466.0
speaking,1648,2608,467.5
goe,1648,2959,467.5
worked,1637,2277,469.5
project,1637,2351,469.5
first time,1636,1428,471.0
consider,1633,5322,472.0
supposed,1625,2432,473.5
speech,1625,3614,473.5
stated,1623,2315,475.0
currently,1620,2299,476.0
president elect,1618,198,477.0
behind,1616,3881,478.5
heard,1616,2389,478.5
role,1610,2908,480.0
cut,1608,7024,481.0
dangerous,1607,2173,482.0
gun,1604,3507,483.0
failed,1602,2329,484.0
addition,1598,2807,485.0
current,1597,4975,486.0
share,1596,5248,487.0
climate change,1595,700,488.0
document,1591,3607,489.0
ted cruz,1588,899,490.0
present,1587,6434,491.0
experience,1585,2296,492.0
force,1584,8273,493.0
return,1580,3027,494.0
concern,1577,4232,495.0
james comey,1574,1085,496.0
black,1572,5097,497.0
recent,1571,6858,498.5
operation,1571,2789,498.5
major,1564,5875,500.0
